blocker_violations,bugs,classes,code_smells,cognitive_complexity,comment_lines,comment_lines_density,file_complexity,confirmed_issues,coverage,critical_violations,complexity,last_commit_date,development_cost,duplicated_blocks,duplicated_files,duplicated_lines,duplicated_lines_density,effort_to_reach_maintainability_rating_a,false_positive_issues,files,functions,info_violations,violations,line_coverage,lines,ncloc,ncloc_language_distribution,lines_to_cover,sqale_rating,major_violations,minor_violations,open_issues,reliability_rating,reliability_remediation_effort,reopened_issues,security_hotspots,security_hotspots_reviewed,security_rating,security_remediation_effort,security_review_rating,security_hotspots_reviewed_status,security_hotspots_to_review_status,skipped_tests
0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,1588407052000,30,0,0,0,0.0,0,0,1,0,0,0,0.0,2,1,js=1,1,1.0,0,0,0,1.0,0,0,0,,1.0,0,1.0,0,0,
0,2,0,81,200,476,13.8,11.5,0,0.0,2,436,1582796782000,88980,4,2,128,3.3,0,0,42,313,0,83,0.0,3835,2966,css=151;js=2798;web=17,656,1.0,61,20,83,4.0,20,0,1,0.0,1.0,0,5.0,0,1,
2,3,0,54,166,113,2.1,7.4,0,0.0,6,317,1659054371413,159660,4,3,290,5.1,0,0,54,198,0,57,0.0,5741,5322,css=2330;js=2971;web=21,452,1.0,28,21,57,4.0,13,0,0,,1.0,0,1.0,0,0,
0,1,2,62,311,165,3.2,8.8,0,0.0,4,536,1619336291000,151770,0,0,0,0.0,0,0,97,305,0,63,0.0,5918,5059,css=1974;js=3064;web=21,867,1.0,37,22,63,4.0,5,0,0,,1.0,0,1.0,0,0,
0,1,10,5,113,443,16.1,5.3,0,0.0,1,224,1518304288000,69120,2,2,155,5.1,0,0,62,124,2,6,0.0,3037,2304,css=575;js=1711;web=18,470,1.0,2,1,6,4.0,5,0,1,0.0,1.0,0,5.0,0,1,
0,1,4,45,84,66,3.6,4.2,0,0.0,2,237,1659058381490,52770,0,0,0,0.0,0,0,75,172,0,47,0.0,2045,1759,css=400;js=1340;web=19,331,1.0,19,26,47,3.0,1,0,0,,4.0,10,1.0,0,0,
1,3,3,27,63,68,3.8,3.5,0,0.0,1,153,1659055243033,51990,0,0,0,0.0,0,0,65,111,0,30,0.0,2092,1733,css=433;js=1282;web=18,201,1.0,15,13,30,5.0,7,0,0,,1.0,0,1.0,0,0,
0,0,1,31,78,45,2.1,3.9,0,0.0,1,238,1587852693000,62940,0,0,0,0.0,0,0,77,181,0,31,0.0,2562,2098,css=427;js=1650;web=21,333,1.0,18,12,31,1.0,0,0,0,,1.0,0,1.0,0,0,
0,0,1,25,78,23,1.1,3.3,0,0.0,1,247,1595661671000,63270,0,0,0,0.0,0,0,77,187,0,25,0.0,2419,2109,css=12;js=2079;web=18,404,1.0,19,5,25,1.0,0,0,1,0.0,1.0,0,5.0,0,1,
0,4,0,61,273,72,1.4,4.8,0,0.0,1,582,1659059277042,147180,4,4,82,1.4,0,0,132,317,0,65,0.0,5692,4906,css=201;js=4691;web=14,1202,1.0,38,26,65,3.0,8,0,8,0.0,1.0,0,5.0,0,8,
0,0,21,38,78,116,2.8,4.2,0,0.0,3,365,1541390414000,118830,0,0,0,0.0,0,0,87,286,0,38,0.0,4446,3961,css=58;js=3903,758,1.0,11,24,38,1.0,0,0,1,0.0,1.0,0,5.0,0,1,
0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,1588407052000,30,0,0,0,0.0,0,0,1,0,0,0,0.0,2,1,js=1,1,1.0,0,0,0,1.0,0,0,0,,1.0,0,1.0,0,0,
0,2,2,39,39,640,28.9,6.5,0,0.0,0,144,1618114330000,47190,0,0,0,0.0,0,0,29,121,0,41,0.0,2294,1573,css=224;js=1329;web=20,228,1.0,27,14,41,3.0,10,0,0,,1.0,0,1.0,0,0,
0,1,16,8,59,70,8.9,4.8,0,0.0,0,114,1510946909000,21540,0,0,0,0.0,0,0,26,70,0,9,0.0,894,718,css=106;js=594;web=18,156,1.0,7,2,9,3.0,10,0,1,0.0,1.0,0,5.0,0,1,
0,7,0,196,109,407,6.9,6.8,0,0.0,4,339,1659055448307,164430,12,5,507,7.7,0,0,69,233,1,203,0.0,6564,5481,css=1627;js=3833;web=21,590,1.0,73,125,203,3.0,15,0,1,0.0,1.0,0,5.0,0,1,
5,18,27,204,327,269,4.0,8.5,0,0.0,8,708,1659049319167,195390,25,13,709,8.5,0,0,105,521,0,222,0.0,8381,6513,css=859;js=5613;web=41,1283,1.0,94,115,222,5.0,69,0,51,0.0,1.0,0,5.0,0,51,
0,31,9,82,63,98,0.7,3.4,0,0.0,4,202,1659057516785,439350,10,2,480,2.9,0,0,85,157,0,113,0.0,16302,14645,css=11579;js=3047;web=19,218,1.0,65,44,113,4.0,43,0,2,0.0,1.0,0,5.0,0,2,
24,978,0,5280,24003,2824,6.2,133.4,0,0.0,296,10938,1659054579437,1274580,10,5,5131,9.6,0,0,120,2777,0,6260,0.0,53407,42486,css=22794;js=19416;web=276,10418,1.0,5751,189,6260,5.0,6213,0,49,0.0,4.0,20,5.0,0,49,
0,9,3,805,8212,7092,34.0,429.7,0,0.0,39,4297,1529560425000,413370,20,2,2038,8.6,0,0,13,1245,50,814,0.0,23747,13779,css=230;js=13384;web=165,7459,1.0,627,98,814,3.0,48,0,4,0.0,1.0,0,5.0,0,4,
0,1,0,83,266,67,1.7,8.2,0,0.0,3,450,1587769281000,115110,4,3,130,3.1,0,0,56,280,0,84,0.0,4207,3837,css=120;js=3679;ts=12;web=26,1073,1.0,44,37,84,4.0,10,0,4,0.0,1.0,0,5.0,0,4,
0,0,0,13,70,2,0.2,4.2,0,0.0,0,122,1611744925000,30720,2,2,31,2.7,0,0,30,67,0,13,0.0,1149,1024,css=17;js=981;web=26,183,1.0,13,0,13,1.0,0,0,1,0.0,1.0,0,5.0,0,1,
8,10,3,31,11,44,3.4,3.8,0,0.0,0,80,1531062090000,37650,2,1,53,3.6,0,0,22,63,0,41,0.0,1463,1255,css=500;js=738;web=17,147,1.0,24,9,41,5.0,42,0,0,,1.0,0,1.0,0,0,
0,0,0,29,52,960,36.1,2.9,0,0.0,0,81,1653407527000,51000,12,7,303,9.5,0,0,28,47,22,29,0.0,3202,1700,js=1700,211,1.0,7,0,29,1.0,0,0,0,,1.0,0,1.0,0,0,
1,8,48,83,1225,3674,20.4,6.7,0,0.0,22,2297,1643961375000,430680,95,28,1860,8.3,0,0,341,1457,4,91,0.0,22531,14356,js=14356,9066,1.0,38,26,91,3.0,40,0,2,0.0,1.0,0,5.0,0,2,
0,5,0,14,296,109,4.1,14.2,0,0.0,4,496,1627865508000,75930,6,2,99,3.2,0,0,36,351,2,19,0.0,3070,2531,css=93;js=2359;web=79,1139,1.0,9,4,19,3.0,11,0,1,0.0,1.0,0,5.0,0,1,
0,2,3,18,61,45,2.6,3.7,0,0.0,1,149,1575154624000,51330,0,0,0,0.0,0,0,60,107,0,20,0.0,1982,1711,css=443;js=1250;web=18,200,1.0,13,6,20,3.0,2,0,0,,1.0,0,1.0,0,0,
