blocker_violations,bugs,classes,code_smells,cognitive_complexity,comment_lines,comment_lines_density,file_complexity,confirmed_issues,coverage,critical_violations,complexity,last_commit_date,development_cost,duplicated_blocks,duplicated_files,duplicated_lines,duplicated_lines_density,effort_to_reach_maintainability_rating_a,false_positive_issues,files,functions,info_violations,violations,line_coverage,lines,ncloc,ncloc_language_distribution,lines_to_cover,sqale_rating,major_violations,minor_violations,open_issues,reliability_rating,reliability_remediation_effort,reopened_issues,security_hotspots,security_hotspots_reviewed,security_rating,security_remediation_effort,security_review_rating,security_hotspots_reviewed_status,security_hotspots_to_review_status,skipped_tests
0,15,39,57,46,110,4.7,3.2,0,0.0,18,214,1659684904485,66510,0,0,0,0.0,0,0,87,166,1,72,0.0,2801,2217,css=490;js=57;ts=1405;web=265,363,1.0,30,23,72,4.0,31,0,4,0.0,1.0,0,5.0,0,4,
0,13,24,23,28,21,1.4,2.4,0,0.0,5,121,1659681593929,43830,0,0,0,0.0,0,0,52,93,0,36,0.0,1739,1461,css=26;js=53;ts=1137;web=245,156,1.0,12,19,36,3.0,21,0,6,0.0,1.0,0,5.0,0,6,
0,2,1,15,1,21,3.8,1.4,0,0.0,1,29,1659650275412,16110,0,0,0,0.0,0,0,69,15,0,17,0.0,1895,537,css=61;js=57;ts=82;web=337,41,1.0,15,1,17,3.0,10,0,0,,1.0,0,1.0,0,0,
0,0,12,34,1,30,4.1,1.7,0,0.0,15,66,1659672131146,21090,2,1,100,10.6,0,0,47,56,0,34,0.0,946,703,css=20;js=54;ts=474;web=155,122,1.0,12,7,34,1.0,0,0,0,,1.0,0,1.0,0,0,
0,1,9,18,6,23,4.9,1.8,0,0.0,3,55,1659684716349,13380,0,0,0,0.0,0,0,37,44,0,19,0.0,638,446,js=67;ts=334;web=45,104,1.0,11,5,19,3.0,0,0,0,,1.0,0,1.0,0,0,
0,22,30,39,24,39,2.3,2.9,0,0.0,8,244,1659689741831,50580,0,0,0,0.0,0,0,101,205,0,61,0.0,2122,1686,css=22;js=52;ts=1242;web=370,370,1.0,37,16,61,3.0,20,0,0,,1.0,0,1.0,0,0,
0,10,25,49,20,61,4.1,2.9,0,0.0,15,200,1659648711750,42600,2,2,28,1.5,0,0,83,167,0,59,0.0,1850,1420,css=71;js=52;ts=998;web=299,300,1.0,22,22,59,3.0,25,0,1,0.0,1.0,0,5.0,0,1,
0,0,8,9,16,22,2.7,2.2,0,0.0,2,51,1589578353000,23550,4,2,54,5.3,0,0,29,33,0,9,0.0,1016,785,css=242;js=72;ts=326;web=145,72,1.0,6,1,9,1.0,0,0,3,0.0,1.0,0,5.0,0,3,
0,20,34,64,29,205,9.3,3.0,0,0.0,12,276,1659648145527,60090,0,0,0,0.0,0,0,110,232,0,84,0.0,2749,2003,css=32;js=52;ts=1479;web=440,432,1.0,54,18,84,3.0,19,0,1,0.0,1.0,0,5.0,0,1,
0,0,0,11,0,6,1.7,1.0,0,0.0,0,13,1659654494361,10530,0,0,0,0.0,0,0,45,1,0,11,0.0,861,351,css=237;js=37;web=77,2,1.0,11,0,11,1.0,0,0,0,,1.0,0,1.0,0,0,
0,2,0,5,194,612,52.0,27.0,0,0.0,2,108,1479282469000,16950,2,1,101,8.0,0,0,4,36,0,7,0.0,1257,565,js=496;web=69,175,1.0,5,0,7,3.0,30,0,1,0.0,1.0,0,5.0,0,1,
0,5,23,48,120,98,3.2,4.0,0,0.0,11,360,1659681007405,89220,0,0,0,0.0,0,0,106,303,0,53,0.0,3967,2974,css=182;js=1104;ts=1271;web=417,1043,1.0,18,24,53,3.0,25,0,3,0.0,1.0,0,5.0,0,3,
0,86,100,18,182,45,0.7,3.0,0,0.0,1,558,1659652809401,202290,4,4,198,2.4,0,0,225,416,0,104,0.0,8143,6743,css=1371;js=891;ts=3420;web=1061,1099,1.0,58,45,104,3.0,124,0,3,0.0,1.0,0,5.0,0,3,
0,7,1,5,1,25,6.6,2.1,0,0.0,1,31,1600870730000,10680,0,0,0,0.0,0,0,27,26,0,12,0.0,659,356,css=45;js=57;ts=138;web=116,70,1.0,5,6,12,3.0,17,0,0,,1.0,0,1.0,0,0,
0,23,24,59,29,75,5.3,3.6,0,0.0,5,152,1560019594000,39930,0,0,0,0.0,0,0,57,112,0,82,0.0,1752,1331,css=51;ts=864;web=416,240,1.0,55,22,82,3.0,26,0,3,0.0,1.0,0,5.0,0,3,
0,11,11,4,5,26,4.5,1.7,0,0.0,0,47,1659656875453,16650,0,0,0,0.0,0,0,32,37,0,15,0.0,739,555,css=33;js=37;ts=352;web=133,76,1.0,11,4,15,3.0,22,0,0,,1.0,0,1.0,0,0,
0,2,9,13,1,138,25.5,1.3,0,0.0,4,29,1659663529918,12090,0,0,0,0.0,0,0,30,20,0,15,0.0,695,403,css=107;ts=215;web=81,23,1.0,8,3,15,3.0,3,0,0,,1.0,0,1.0,0,0,
0,19,23,18,21,20,1.3,2.8,0,0.0,4,131,1659652630105,47070,2,2,70,3.6,0,0,60,100,0,37,0.0,1964,1569,css=282;js=53;ts=877;web=357,165,1.0,24,9,37,3.0,22,0,0,,1.0,0,1.0,0,0,
