complexity,cognitive_complexity,duplicated_blocks,duplicated_files,duplicated_lines,duplicated_lines_density,violations,open_issues,confirmed_issues,false_positive_issues,blocker_violations,critical_violations,major_violations,minor_violations,info_violations,code_smells,sqale_rating,sqale_index,sqale_debt_ratio,alert_status,quality_gate_details,bugs,reliability_rating,reliability_remediation_effort,vulnerabilities,security_rating,security_remediation_effort,security_hotspots,security_review_rating,security_hotspots_reviewed,lines_to_cover,skipped_tests,tests,test_execution_time,test_errors,test_failures,test_success_density
121,28,0,0,0,0.0,36,36,0,0,0,5,12,19,0,23,1.0,97,0.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",13,3.0,21,0,1.0,0,6,5.0,0.0,156,,,,,,
29,1,0,0,0,0.0,17,17,0,0,0,1,15,1,0,15,1.0,43,0.3,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",2,3.0,10,0,1.0,0,0,1.0,,41,,,,,,
66,1,2,1,100,10.6,34,34,0,0,0,15,12,7,0,34,1.0,125,0.6,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",0,1.0,0,0,1.0,0,0,1.0,,122,,,,,,
55,6,0,0,0,0.0,19,19,0,0,0,3,11,5,0,18,1.0,55,0.4,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",1,3.0,0,0,1.0,0,0,1.0,,104,,,,,,
200,20,2,2,28,1.5,59,59,0,0,0,15,22,22,0,49,1.0,160,0.4,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",10,3.0,25,0,1.0,0,1,5.0,0.0,300,,,,,,
51,16,4,2,54,5.3,9,9,0,0,0,2,6,1,0,9,1.0,42,0.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",0,1.0,0,0,1.0,0,3,5.0,0.0,72,,,,,,
276,29,0,0,0,0.0,84,84,0,0,0,12,54,18,0,64,1.0,228,0.4,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",20,3.0,19,0,1.0,0,1,5.0,0.0,432,,,,,,
13,0,0,0,0,0.0,11,11,0,0,0,0,11,0,0,11,1.0,11,0.1,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",0,1.0,0,0,1.0,0,0,1.0,,2,,,,,,
360,120,0,0,0,0.0,53,53,0,0,0,11,18,24,0,48,1.0,193,0.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",5,3.0,25,0,1.0,0,3,5.0,0.0,1043,,,,,,
558,182,4,4,198,2.4,104,104,0,0,0,1,58,45,0,18,1.0,144,0.1,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",86,3.0,124,0,1.0,0,3,5.0,0.0,1099,,,,,,
31,1,0,0,0,0.0,12,12,0,0,0,1,5,6,0,5,1.0,25,0.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",7,3.0,17,0,1.0,0,0,1.0,,70,,,,,,
152,29,0,0,0,0.0,82,82,0,0,0,5,55,22,0,59,1.0,220,0.6,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",23,3.0,26,0,1.0,0,3,5.0,0.0,240,,,,,,
