blocker_violations,bugs,classes,code_smells,cognitive_complexity,comment_lines,comment_lines_density,file_complexity,confirmed_issues,coverage,critical_violations,complexity,last_commit_date,development_cost,duplicated_blocks,duplicated_files,duplicated_lines,duplicated_lines_density,effort_to_reach_maintainability_rating_a,false_positive_issues,files,functions,info_violations,violations,line_coverage,lines,ncloc,ncloc_language_distribution,lines_to_cover,sqale_rating,major_violations,minor_violations,open_issues,reliability_rating,reliability_remediation_effort,reopened_issues,security_hotspots,security_hotspots_reviewed,security_rating,security_remediation_effort,security_review_rating,security_hotspots_reviewed_status,security_hotspots_to_review_status,skipped_tests
0,2,0,81,200,476,13.8,11.5,0,0.0,2,436,1582796782000,88980,4,2,128,3.3,0,0,42,313,0,83,0.0,3835,2966,css=151;js=2798;web=17,656,1.0,61,20,83,4.0,20,0,1,0.0,1.0,0,5.0,0,1,
2,3,0,54,166,113,2.1,7.4,0,0.0,6,317,1659703929058,159660,4,3,290,5.1,0,0,54,198,0,57,0.0,5741,5322,css=2330;js=2971;web=21,452,1.0,28,21,57,4.0,13,0,0,,1.0,0,1.0,0,0,
0,4,10,11,9,0,0.0,27.3,0,0.0,11,82,1587992483000,33960,8,2,228,19.2,0,0,4,75,0,15,0.0,1187,1132,css=33;js=1079;web=20,101,1.0,4,0,15,4.0,15,0,3,0.0,1.0,0,5.0,0,3,
0,1,2,62,311,165,3.2,8.8,0,0.0,4,536,1619336291000,151770,0,0,0,0.0,0,0,97,305,0,63,0.0,5918,5059,css=1974;js=3064;web=21,867,1.0,37,22,63,4.0,5,0,0,,1.0,0,1.0,0,0,
0,1,10,5,113,443,16.1,5.3,0,0.0,1,224,1518304288000,69120,2,2,155,5.1,0,0,62,124,2,6,0.0,3037,2304,css=575;js=1711;web=18,470,1.0,2,1,6,4.0,5,0,1,0.0,1.0,0,5.0,0,1,
0,0,1,30,62,38,2.7,8.8,0,0.0,1,168,1650444288000,41580,0,0,0,0.0,0,0,21,105,0,30,0.0,1520,1386,css=173;js=1193;web=20,227,1.0,11,18,30,1.0,0,0,0,,1.0,0,1.0,0,0,
1,3,3,27,63,68,3.8,3.5,0,0.0,1,153,1659704499899,51990,0,0,0,0.0,0,0,65,111,0,30,0.0,2092,1733,css=433;js=1282;web=18,201,1.0,15,13,30,5.0,7,0,0,,1.0,0,1.0,0,0,
32,1223,91,1199,5928,8406,11.3,24.3,0,0.0,152,4599,1659716425496,1978800,345,29,21264,22.6,0,0,298,1257,4,2422,0.0,94030,65960,css=2493;js=1953;py=19386;ruby=4;web=40285;xml=1839,13757,1.0,1288,946,2422,5.0,1919,0,43,0.0,1.0,0,5.0,0,43,
0,0,1,31,78,45,2.1,3.9,0,0.0,1,238,1587852693000,62940,0,0,0,0.0,0,0,77,181,0,31,0.0,2562,2098,css=427;js=1650;web=21,333,1.0,18,12,31,1.0,0,0,0,,1.0,0,1.0,0,0,
0,6,1,24,113,388,7.3,6.7,0,0.0,3,302,1652006515000,147960,6,3,143,1.9,0,0,73,229,0,30,0.0,7550,4932,css=1834;js=955;scala=46;ts=2077;web=20,569,1.0,10,17,30,3.0,6,0,0,,1.0,0,1.0,0,0,
1,33,0,641,540,548,3.3,8.0,0,0.0,15,1210,1659702134949,480000,66,28,2189,12.6,0,0,225,744,0,674,0.0,17378,16000,css=6773;js=534;ts=8675;web=18,2392,1.0,273,385,674,4.0,67,0,9,0.0,1.0,0,5.0,0,9,
0,0,1,25,78,23,1.1,3.3,0,0.0,1,247,1595661671000,63270,0,0,0,0.0,0,0,77,187,0,25,0.0,2419,2109,css=12;js=2079;web=18,404,1.0,19,5,25,1.0,0,0,1,0.0,1.0,0,5.0,0,1,
0,4,0,61,273,72,1.4,4.8,0,0.0,1,582,1659709509714,147180,4,4,82,1.4,0,0,132,317,0,65,0.0,5692,4906,css=201;js=4691;web=14,1202,1.0,38,26,65,3.0,8,0,8,0.0,1.0,0,5.0,0,8,
3,2,0,68,156,158,3.8,4.1,0,0.0,4,323,1659725679417,121080,15,5,583,12.7,0,0,80,190,0,70,0.0,4602,4036,css=64;js=3948;web=24,531,1.0,49,14,70,3.0,6,0,1,0.0,1.0,0,5.0,0,1,
