blocker_violations,bugs,classes,code_smells,cognitive_complexity,comment_lines,comment_lines_density,file_complexity,confirmed_issues,coverage,critical_violations,complexity,last_commit_date,development_cost,duplicated_blocks,duplicated_files,duplicated_lines,duplicated_lines_density,effort_to_reach_maintainability_rating_a,false_positive_issues,files,functions,info_violations,violations,line_coverage,lines,ncloc,ncloc_language_distribution,lines_to_cover,sqale_rating,major_violations,minor_violations,open_issues,reliability_rating,reliability_remediation_effort,reopened_issues,security_hotspots,security_hotspots_reviewed,security_rating,security_remediation_effort,security_review_rating,security_hotspots_reviewed_status,security_hotspots_to_review_status,skipped_tests
0,0,0,0,0,5,5.7,0.3,0,0.0,0,3,1582807611000,2490,0,0,0,0.0,0,0,9,2,0,0,0.0,201,83,js=67;web=16,7,1.0,0,0,0,1.0,0,0,0,,1.0,0,1.0,0,0,
0,0,0,0,0,5,5.6,0.3,0,0.0,0,3,1569399738000,2520,0,0,0,0.0,0,0,10,2,0,0,0.0,202,84,js=68;web=16,6,1.0,0,0,0,1.0,0,0,0,,1.0,0,1.0,0,0,
0,2,0,81,200,476,13.8,11.5,0,0.0,2,436,1582796782000,88980,4,2,128,3.3,0,0,42,313,0,83,0.0,3835,2966,css=151;js=2798;web=17,656,1.0,61,20,83,4.0,20,0,1,0.0,1.0,0,5.0,0,1,
0,6,0,24,57,114,7.7,3.2,0,0.0,0,105,1564133766000,40980,0,0,0,0.0,0,0,34,55,0,30,0.0,2125,1366,css=342;js=1011;web=13,210,1.0,21,9,30,3.0,17,0,1,0.0,1.0,0,5.0,0,1,
3,5,43,447,16484,12027,46.0,35.1,0,0.0,69,4077,1657610301000,423720,4,3,286,0.9,0,0,123,1544,0,452,0.0,30248,14124,css=1396;js=10311;php=2388;xml=29,6114,1.0,355,25,452,4.0,37,0,11,0.0,1.0,0,5.0,0,11,
2,15,3,40,38,444,25.4,3.5,0,0.0,11,170,1659528575375,39150,0,0,0,0.0,0,0,51,134,0,55,0.0,3038,1305,css=191;js=1098;web=16,285,1.0,35,7,55,5.0,71,0,1,0.0,1.0,0,5.0,0,1,
2,3,0,54,166,113,2.1,7.4,0,0.0,6,317,1659054371413,159660,4,3,290,5.1,0,0,54,198,0,57,0.0,5741,5322,css=2330;js=2971;web=21,452,1.0,28,21,57,4.0,13,0,0,,1.0,0,1.0,0,0,
0,4,10,11,9,0,0.0,27.3,0,0.0,11,82,1587992483000,33960,8,2,228,19.2,0,0,4,75,0,15,0.0,1187,1132,css=33;js=1079;web=20,101,1.0,4,0,15,4.0,15,0,3,0.0,1.0,0,5.0,0,3,
0,1,0,27,57,74,5.0,6.4,0,0.0,0,230,1605324262000,42120,0,0,0,0.0,0,0,36,183,0,28,0.0,2259,1404,js=1388;web=16,386,1.0,28,0,28,3.0,10,0,3,0.0,1.0,0,5.0,0,3,
0,1,2,62,311,165,3.2,8.8,0,0.0,4,536,1619336291000,151770,0,0,0,0.0,0,0,97,305,0,63,0.0,5918,5059,css=1974;js=3064;web=21,867,1.0,37,22,63,4.0,5,0,0,,1.0,0,1.0,0,0,
0,3,4,3,54,102,9.9,2.3,0,0.0,0,88,1515697828000,27990,0,0,0,0.0,0,0,40,37,0,6,0.0,1213,933,css=22;js=705;ts=162;web=44,238,1.0,3,3,6,3.0,10,0,9,0.0,1.0,0,5.0,0,9,
0,1,10,5,113,443,16.1,5.3,0,0.0,1,224,1518304288000,69120,2,2,155,5.1,0,0,62,124,2,6,0.0,3037,2304,css=575;js=1711;web=18,470,1.0,2,1,6,4.0,5,0,1,0.0,1.0,0,5.0,0,1,
0,1,0,91,195,186,6.4,8.6,0,0.0,0,475,1641957014000,81510,16,7,324,5.6,0,0,55,337,0,92,0.0,5796,2717,js=2699;web=18,751,1.0,72,20,92,2.0,2,0,2,0.0,1.0,0,5.0,0,2,
0,0,0,0,8,10,9.8,5.3,0,0.0,0,16,1563376108000,2760,0,0,0,0.0,0,0,3,10,0,0,0.0,123,92,js=91;web=1,50,1.0,0,0,0,1.0,0,0,4,0.0,1.0,0,5.0,0,4,
0,1,4,45,84,66,3.6,4.2,0,0.0,2,237,1659058381490,52770,0,0,0,0.0,0,0,75,172,0,47,0.0,2045,1759,css=400;js=1340;web=19,331,1.0,19,26,47,3.0,1,0,0,,4.0,10,1.0,0,0,
0,0,1,30,62,38,2.7,8.8,0,0.0,1,168,1650444288000,41580,0,0,0,0.0,0,0,21,105,0,30,0.0,1520,1386,css=173;js=1193;web=20,227,1.0,11,18,30,1.0,0,0,0,,1.0,0,1.0,0,0,
1,3,3,27,63,68,3.8,3.5,0,0.0,1,153,1659055243033,51990,0,0,0,0.0,0,0,65,111,0,30,0.0,2092,1733,css=433;js=1282;web=18,201,1.0,15,13,30,5.0,7,0,0,,1.0,0,1.0,0,0,
