complexity,cognitive_complexity,duplicated_blocks,duplicated_files,duplicated_lines,duplicated_lines_density,violations,open_issues,confirmed_issues,false_positive_issues,blocker_violations,critical_violations,major_violations,minor_violations,info_violations,code_smells,sqale_rating,sqale_index,sqale_debt_ratio,alert_status,quality_gate_details,bugs,reliability_rating,reliability_remediation_effort,vulnerabilities,security_rating,security_remediation_effort,security_hotspots,security_review_rating,security_hotspots_reviewed,lines_to_cover,skipped_tests,tests,test_execution_time,test_errors,test_failures,test_success_density
3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0.0,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",0,1.0,0,0,1.0,0,0,1.0,,7,,,,,,
3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0.0,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",0,1.0,0,0,1.0,0,0,1.0,,6,,,,,,
105,57,0,0,0,0.0,30,30,0,0,0,0,21,9,0,24,1.0,78,0.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",6,3.0,17,0,1.0,0,1,5.0,0.0,210,,,,,,
4077,16484,4,3,286,0.9,451,451,0,0,3,69,354,25,0,446,1.0,18902,4.5,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",5,4.0,37,0,1.0,0,5,5.0,0.0,6114,,,,,,
170,38,0,0,0,0.0,55,55,0,0,2,11,35,7,0,40,1.0,160,0.4,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",15,5.0,71,0,1.0,0,1,5.0,0.0,285,,,,,,
230,57,0,0,0,0.0,28,28,0,0,0,0,28,0,0,27,1.0,175,0.4,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",1,3.0,10,0,1.0,0,3,5.0,0.0,386,,,,,,
88,54,0,0,0,0.0,6,6,0,0,0,0,3,3,0,3,1.0,15,0.1,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",3,3.0,10,0,1.0,0,9,5.0,0.0,238,,,,,,
16,8,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0.0,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",0,1.0,0,0,1.0,0,4,5.0,0.0,50,,,,,,
35,7,0,0,0,0.0,9,9,0,0,0,0,6,3,0,6,1.0,26,0.3,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",3,3.0,15,0,1.0,0,0,1.0,,53,,,,,,
164,17,684,35,5726,11.5,1949,1949,0,0,28,0,1877,40,4,1677,1.0,8072,0.7,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",272,5.0,336,0,1.0,0,49,5.0,0.0,165,,,,,,
24,7,0,0,0,0.0,6,6,0,0,0,0,3,2,1,3,1.0,10,0.1,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",3,3.0,12,0,1.0,0,8,5.0,0.0,38,,,,,,
161,91,0,0,0,0.0,52,52,0,0,0,3,8,41,0,46,1.0,155,0.4,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",5,3.0,18,1,4.0,10,1,5.0,0.0,376,,,,,,
161,53,0,0,0,0.0,19,19,0,0,0,0,5,11,3,9,1.0,24,0.1,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",10,3.0,42,0,1.0,0,9,5.0,0.0,299,,,,,,
3924,4395,38,18,13669,30.8,598,598,0,0,14,19,399,158,8,402,1.0,5203,0.5,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",196,5.0,500,0,1.0,0,8,5.0,0.0,8489,,,,,,
9701,25282,533,31,33222,34.3,2170,2170,0,0,20,178,1083,872,17,1260,1.0,29358,1.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",910,5.0,2790,0,1.0,0,31,5.0,0.0,14844,,,,,,
14,6,0,0,0,0.0,5,5,0,0,0,0,2,3,0,2,1.0,10,0.1,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",3,2.0,15,0,1.0,0,0,1.0,,24,,,,,,
54,25,0,0,0,0.0,9,9,0,0,0,0,9,0,0,9,1.0,45,0.5,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",0,1.0,0,0,1.0,0,0,1.0,,93,,,,,,
42,14,0,0,0,0.0,3,3,0,0,0,0,2,1,0,1,1.0,2,0.0,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",2,3.0,0,0,1.0,0,0,1.0,,72,,,,,,
130,75,4,2,66,4.2,12,12,0,0,0,1,9,2,0,4,1.0,21,0.1,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",8,3.0,15,0,1.0,0,4,5.0,0.0,258,,,,,,
45,10,0,0,0,0.0,3,3,0,0,0,2,1,0,0,3,1.0,15,0.1,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",0,1.0,0,0,1.0,0,0,1.0,,64,,,,,,
635,249,6,5,117,1.4,61,61,0,0,4,3,36,18,0,43,1.0,180,0.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",18,5.0,92,0,1.0,0,1,5.0,0.0,844,,,,,,
3,0,0,0,0,0.0,6,6,0,0,0,0,6,0,0,6,1.0,10,0.1,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",0,1.0,0,0,1.0,0,0,1.0,,21,,,,,,
9,0,0,0,0,0.0,6,6,0,0,0,1,5,0,0,6,1.0,10,0.3,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",0,1.0,0,0,1.0,0,0,1.0,,5,,,,,,
433,93,17,10,336,6.7,183,183,0,0,1,23,22,137,0,61,1.0,323,0.4,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",122,5.0,732,0,1.0,0,3,5.0,0.0,955,,,,,,
722,402,924,14,5892,44.6,115,115,0,0,13,8,75,19,0,73,1.0,511,0.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",42,5.0,126,0,1.0,0,16,5.0,0.0,1282,,,,,,
401,104,25,14,541,1.3,601,601,0,0,2,12,389,198,0,316,1.0,585,0.1,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",285,5.0,601,0,1.0,0,4,5.0,0.0,629,,,,,,
210,232,4,1,140,3.5,73,73,0,0,3,5,59,2,4,61,1.0,497,0.5,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",12,3.0,17,0,1.0,0,11,5.0,0.0,452,,,,,,
72,19,0,0,0,0.0,9,9,0,0,0,0,6,3,0,6,1.0,22,0.1,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",3,2.0,12,0,1.0,0,7,5.0,0.0,107,,,,,,
176,75,0,0,0,0.0,44,44,0,0,0,3,25,16,0,19,1.0,148,0.3,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",25,3.0,47,0,1.0,0,4,5.0,0.0,695,,,,,,
20204,51619,173,31,30942,23.0,2494,2494,0,0,46,370,1504,516,58,2080,1.0,56755,2.0,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",414,5.0,1574,0,1.0,0,58,5.0,0.0,38643,,,,,,
111,28,0,0,0,0.0,36,36,0,0,0,0,12,24,0,10,1.0,30,0.1,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",26,3.0,58,0,1.0,0,0,1.0,,158,,,,,,
32,7,0,0,0,0.0,24,24,0,0,0,0,23,1,0,23,1.0,161,1.7,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",1,2.0,5,0,1.0,0,0,1.0,,54,,,,,,
52,13,0,0,0,0.0,13,13,0,0,0,0,13,0,0,13,1.0,80,0.8,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",0,1.0,0,0,1.0,0,0,1.0,,66,,,,,,
7,5,0,0,0,0.0,1,1,0,0,0,0,1,0,0,1,1.0,5,0.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",0,1.0,0,0,1.0,0,2,5.0,0.0,59,,,,,,
64,7,2,1,46,6.2,6,6,0,0,0,0,6,0,0,2,1.0,10,0.1,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",4,3.0,20,0,1.0,0,1,5.0,0.0,106,,,,,,
482,216,198,8,964,2.6,1406,1406,0,0,1,27,178,1200,0,131,1.0,2941,0.5,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",1275,3.0,2459,0,1.0,0,3,5.0,0.0,922,,,,,,
33,0,0,0,0,0.0,22,22,0,0,0,0,21,1,0,22,1.0,99,1.4,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",0,1.0,0,0,1.0,0,0,1.0,,45,,,,,,
126,135,0,0,0,0.0,17,17,0,0,0,3,7,7,0,14,1.0,100,0.3,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",3,3.0,7,0,1.0,0,0,1.0,,299,,,,,,
88,7,0,0,0,0.0,6,6,0,0,0,2,4,0,0,6,1.0,42,0.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",0,1.0,0,0,1.0,0,0,1.0,,106,,,,,,
166,51,0,0,0,0.0,31,31,0,0,0,1,26,4,0,23,1.0,68,0.1,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",8,3.0,18,0,1.0,0,15,5.0,0.0,391,,,,,,
5,0,0,0,0,0.0,9,9,0,0,0,0,7,2,0,4,1.0,4,0.1,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",5,3.0,10,0,1.0,0,0,1.0,,11,,,,,,
63,13,0,0,0,0.0,9,9,0,0,0,0,6,3,0,2,1.0,2,0.0,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",7,3.0,10,0,1.0,0,0,1.0,,76,,,,,,
35,2,0,0,0,0.0,11,11,0,0,0,1,8,2,0,3,1.0,11,0.1,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",8,3.0,16,0,1.0,0,0,1.0,,39,,,,,,
390,87,9,5,767,15.6,19,19,0,0,0,5,9,5,0,17,1.0,83,0.1,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",2,2.0,10,0,1.0,0,1,5.0,0.0,585,,,,,,
6502,41465,0,0,0,0.0,599,599,0,0,0,20,478,93,8,587,2.0,44930,7.7,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",12,3.0,72,0,1.0,0,4,5.0,0.0,10114,,,,,,
215,38,2,1,630,15.6,39,39,0,0,0,4,21,14,0,25,1.0,137,0.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",14,3.0,62,0,1.0,0,2,5.0,0.0,314,,,,,,
3,0,0,0,0,0.0,3,3,0,0,0,0,3,0,0,3,1.0,3,0.1,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",0,1.0,0,0,1.0,0,0,1.0,,7,,,,,,
621,396,17,5,1232,7.8,553,553,0,0,30,28,353,142,0,343,1.0,1870,1.0,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",210,5.0,578,0,1.0,0,92,5.0,0.0,1102,,,,,,
30,4,0,0,0,0.0,6,6,0,0,0,0,6,0,0,6,1.0,6,0.1,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",0,1.0,0,0,1.0,0,0,1.0,,39,,,,,,
46,13,0,0,0,0.0,1,1,0,0,0,0,1,0,0,1,1.0,20,0.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",0,1.0,0,0,1.0,0,0,1.0,,62,,,,,,
5691,25912,11,4,80,0.6,3578,3578,0,0,4,81,3307,186,0,3121,3.0,42400,14.9,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",457,5.0,4468,0,1.0,0,8,5.0,0.0,4501,,,,,,
136,58,4,1,154,7.4,39,39,0,0,0,0,28,11,0,18,1.0,90,0.3,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",21,3.0,47,0,1.0,0,0,1.0,,291,,,,,,
68,19,0,0,0,0.0,5,5,0,0,0,0,3,2,0,3,1.0,30,0.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",2,3.0,12,0,1.0,0,0,1.0,,99,,,,,,
40,12,0,0,0,0.0,6,6,0,0,0,0,6,0,0,6,1.0,45,0.5,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",0,1.0,0,0,1.0,0,0,1.0,,56,,,,,,
33,9,0,0,0,0.0,17,17,0,0,0,2,9,6,0,17,1.0,83,0.9,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",0,1.0,0,0,1.0,0,0,1.0,,66,,,,,,
2914,7405,0,0,0,0.0,351,351,0,0,0,7,301,43,0,348,1.0,9296,3.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",3,3.0,20,0,1.0,0,4,5.0,0.0,4902,,,,,,
12,2,0,0,0,0.0,2,2,0,0,0,0,1,1,0,2,1.0,7,0.3,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",0,1.0,0,0,1.0,0,0,1.0,,13,,,,,,
129,81,2,2,62,2.4,103,103,0,0,0,4,32,67,0,28,1.0,149,0.6,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",75,4.0,305,0,1.0,0,0,1.0,,240,,,,,,
187,60,2,2,44,1.7,35,35,0,0,4,13,5,13,0,21,1.0,90,0.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",14,3.0,50,0,1.0,0,3,5.0,0.0,238,,,,,,
6,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0.0,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",0,1.0,0,0,1.0,0,0,1.0,,8,,,,,,
129,40,0,0,0,0.0,47,47,0,0,0,3,30,14,0,28,1.0,87,0.3,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",19,3.0,32,0,1.0,0,1,5.0,0.0,300,,,,,,
2481,1336,76,45,1928,2.1,3256,3256,0,0,2,69,2552,633,0,2055,1.0,7073,0.4,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",1200,5.0,3062,1,4.0,10,6,5.0,0.0,6729,,,,,,
2509,1681,154,110,7493,25.8,1496,1496,0,0,655,64,669,108,0,743,1.0,4615,0.8,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",753,5.0,3462,0,1.0,0,22,5.0,0.0,5538,,,,,,
391,202,0,0,0,0.0,22,22,0,0,1,2,15,4,0,14,1.0,125,0.1,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",8,5.0,25,0,1.0,0,5,5.0,0.0,815,,,,,,
11,1,0,0,0,0.0,7,7,0,0,0,0,5,2,0,2,1.0,0,0.0,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",5,3.0,7,0,1.0,0,0,1.0,,17,,,,,,
66,7,0,0,0,0.0,7,7,0,0,0,0,0,7,0,0,1.0,0,0.0,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",7,2.0,17,0,1.0,0,1,5.0,0.0,59,,,,,,
3597,8613,6,5,322,0.4,1570,1570,0,0,0,13,1411,145,1,422,1.0,10463,0.6,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",1148,3.0,1282,0,1.0,0,7,5.0,0.0,5885,,,,,,
47,31,0,0,0,0.0,7,7,0,0,0,0,4,3,0,4,1.0,35,0.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",3,3.0,10,0,1.0,0,10,5.0,0.0,167,,,,,,
894,169,84,16,816,7.2,147,147,0,0,0,5,87,55,0,80,1.0,674,0.3,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",67,3.0,167,0,1.0,0,1,5.0,0.0,1784,,,,,,
4847,27471,30,17,833,1.2,1548,1548,0,0,2,27,1480,32,7,483,1.0,29641,1.9,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",1064,5.0,1247,1,4.0,10,8,5.0,0.0,7774,,,,,,
18,6,0,0,0,0.0,4,4,0,0,0,0,1,3,0,0,1.0,0,0.0,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",4,3.0,11,0,1.0,0,16,5.0,0.0,35,,,,,,
864,326,8,5,361,2.8,130,130,0,0,0,6,53,69,2,105,1.0,320,0.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",25,4.0,45,0,1.0,0,7,5.0,0.0,1439,,,,,,
25,10,0,0,0,0.0,20,20,0,0,0,0,16,4,0,18,1.0,80,1.3,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",2,2.0,7,0,1.0,0,0,1.0,,36,,,,,,
1,0,0,0,0,0.0,10,10,0,0,0,0,3,7,0,6,1.0,12,0.2,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",4,3.0,8,0,1.0,0,0,1.0,,3,,,,,,
26,5,0,0,0,0.0,1,1,0,0,0,1,0,0,0,1,1.0,5,0.1,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",0,1.0,0,0,1.0,0,0,1.0,,28,,,,,,
1002,1064,214,28,3786,23.5,539,539,0,0,9,23,230,277,0,488,1.0,2110,0.6,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",51,5.0,136,0,1.0,0,123,5.0,0.0,2684,,,,,,
4,0,0,0,0,0.0,39,39,0,0,0,0,6,33,0,1,1.0,5,0.1,OK,"{""level"":""OK"",""conditions"":[],""ignoredConditions"":false}",38,3.0,78,0,1.0,0,0,1.0,,8,,,,,,
