rank,owner,name,full_name,clone_url,forks,watchers,open_issues,describtion_length,size,branches
0,yankouskia,Shop,yankouskia/Shop,https://github.com/yankouskia/Shop.git,51,126,1,37,2397,2
1,BPouncey,ReactJS-ecommerce-template,BPouncey/ReactJS-ecommerce-template,https://github.com/BPouncey/ReactJS-ecommerce-template.git,47,64,4,53,3569,2
2,merikbest,ecommerce-spring-reactjs,merikbest/ecommerce-spring-reactjs,https://github.com/merikbest/ecommerce-spring-reactjs.git,98,133,1,119,43797,2
3,bithoven-dev,ReactNativeApolloOnlineStore,bithoven-dev/ReactNativeApolloOnlineStore,https://github.com/bithoven-dev/ReactNativeApolloOnlineStore.git,16,60,41,48,1547,2
4,thomaslwq,ygshop,thomaslwq/ygshop,https://github.com/thomaslwq/ygshop.git,51,3,18,28,2786,2
5,feMoraes0,online-groceries-app,feMoraes0/online-groceries-app,https://github.com/feMoraes0/online-groceries-app.git,18,34,1,56,7875,2
6,shashiirk,tiptop,shashiirk/tiptop,https://github.com/shashiirk/tiptop.git,16,41,0,23,474,2
7,renaco,online-shop,renaco/online-shop,https://github.com/renaco/online-shop.git,56,0,0,63,16708,2
8,val92130,Supreme-Auto-Checkout,val92130/Supreme-Auto-Checkout,https://github.com/val92130/Supreme-Auto-Checkout.git,111,363,70,109,7934,2
9,bartstc,react-simple-online-shop-concept,bartstc/react-simple-online-shop-concept,https://github.com/bartstc/react-simple-online-shop-concept.git,13,26,1,45,17522,2
10,alaminsahed,onlineShop,alaminsahed/onlineShop,https://github.com/alaminsahed/onlineShop.git,17,12,1,51,3437,2
11,ikhsanalatsary,react-mini-shop,ikhsanalatsary/react-mini-shop,https://github.com/ikhsanalatsary/react-mini-shop.git,12,18,5,38,728,2
12,soybeanxiaobi,online-shop,soybeanxiaobi/online-shop,https://github.com/soybeanxiaobi/online-shop.git,6,16,0,17,111,2
13,AbdulWahab0,Pizza-Shop,AbdulWahab0/Pizza-Shop,https://github.com/AbdulWahab0/Pizza-Shop.git,18,29,7,86,20749,2
14,ngothanhtung,react-online-shop,ngothanhtung/react-online-shop,https://github.com/ngothanhtung/react-online-shop.git,12,4,0,0,296,2
15,mvximenko,e-commerce,mvximenko/e-commerce,https://github.com/mvximenko/e-commerce.git,5,16,1,36,2103,2
16,Krivega,react-redux-shop,Krivega/react-redux-shop,https://github.com/Krivega/react-redux-shop.git,8,8,0,87,4330,2
17,mahmud-sajib,ReactJs-Online-Store,mahmud-sajib/ReactJs-Online-Store,https://github.com/mahmud-sajib/ReactJs-Online-Store.git,5,9,0,77,209,2
18,cedrickchee,e-mart,cedrickchee/e-mart,https://github.com/cedrickchee/e-mart.git,10,16,0,106,572,2
19,CC2021-WBL,S.Mallets-frontend,CC2021-WBL/S.Mallets-frontend,https://github.com/CC2021-WBL/S.Mallets-frontend.git,4,2,4,39,5705,2
20,ZahraMirzaei,online-shop,ZahraMirzaei/online-shop,https://github.com/ZahraMirzaei/online-shop.git,0,46,0,112,5612,2
21,anujshashimal,Fashion-Web-App,anujshashimal/Fashion-Web-App,https://github.com/anujshashimal/Fashion-Web-App.git,6,6,22,81,30176,2
22,MichaelKasingye,Jumia-clone,MichaelKasingye/Jumia-clone,https://github.com/MichaelKasingye/Jumia-clone.git,4,8,0,69,6506,2
23,jenna-m,redux-co,jenna-m/redux-co,https://github.com/jenna-m/redux-co.git,5,3,1,34,51302,2
24,iMykhailychenko,online-shop,iMykhailychenko/online-shop,https://github.com/iMykhailychenko/online-shop.git,2,4,0,94,7272,2
25,lakshanban,OnlineShoppingStore,lakshanban/OnlineShoppingStore,https://github.com/lakshanban/OnlineShoppingStore.git,3,4,16,84,26000,2
26,rukshan99,app-shopping-store,rukshan99/app-shopping-store,https://github.com/rukshan99/app-shopping-store.git,4,2,0,60,1243,2
27,CloudGakkai,Alfredo-Mobile,CloudGakkai/Alfredo-Mobile,https://github.com/CloudGakkai/Alfredo-Mobile.git,8,14,0,130,3272,2
28,kastergarta,react_native_storeapp,kastergarta/react_native_storeapp,https://github.com/kastergarta/react_native_storeapp.git,5,7,1,140,142810,2
29,Shihara-Dilshan,RW-Jewellery-Automated-System,Shihara-Dilshan/RW-Jewellery-Automated-System,https://github.com/Shihara-Dilshan/RW-Jewellery-Automated-System.git,8,5,7,122,15810,2
30,Salonii02,ECommerceColabShop,Salonii02/ECommerceColabShop,https://github.com/Salonii02/ECommerceColabShop.git,2,7,0,16,6389,2
31,ProjectKarol,loveya,ProjectKarol/loveya,https://github.com/ProjectKarol/loveya.git,3,0,17,17,4102,2
32,libscode,OpenDagang,libscode/OpenDagang,https://github.com/libscode/OpenDagang.git,5,2,2,81,3855,2
33,saidMounaim,cloth-shop,saidMounaim/cloth-shop,https://github.com/saidMounaim/cloth-shop.git,5,6,0,42,2628,2
34,optimm,shoppy,optimm/shoppy,https://github.com/optimm/shoppy.git,4,2,0,95,69168,2
35,unbanksytv,LTL-Admin,unbanksytv/LTL-Admin,https://github.com/unbanksytv/LTL-Admin.git,10,0,3,142,12146,2
36,akshayDatacode,online-shop,akshayDatacode/online-shop,https://github.com/akshayDatacode/online-shop.git,1,5,0,25,15845,2
37,JoinCODED,mech-kb,JoinCODED/mech-kb,https://github.com/JoinCODED/mech-kb.git,5,0,0,81,1767,2
38,bensooraj,reactU-online-shopping-store,bensooraj/reactU-online-shopping-store,https://github.com/bensooraj/reactU-online-shopping-store.git,3,0,0,91,954,2
39,ArchilChovatiya,Online-shopping-website-react,ArchilChovatiya/Online-shopping-website-react,https://github.com/ArchilChovatiya/Online-shopping-website-react.git,1,4,0,47,932,2
40,Marall-Y,Online-Shop,Marall-Y/Online-Shop,https://github.com/Marall-Y/Online-Shop.git,3,0,0,80,21255,2
41,PrasadM96,Online-shopping-platform,PrasadM96/Online-shopping-platform,https://github.com/PrasadM96/Online-shopping-platform.git,3,1,3,59,5803,2
42,reactivebear,Online-beauty-shop,reactivebear/Online-beauty-shop,https://github.com/reactivebear/Online-beauty-shop.git,1,3,0,28,8536,2
43,BoikoYV,online-shop-react,BoikoYV/online-shop-react,https://github.com/BoikoYV/online-shop-react.git,3,5,0,56,6574,2
44,Arquisoft,dede_es4b,Arquisoft/dede_es4b,https://github.com/Arquisoft/dede_es4b.git,2,2,11,41,3247,2
45,sartim,react_shop_admin,sartim/react_shop_admin,https://github.com/sartim/react_shop_admin.git,3,0,12,95,960,2
46,AlisanCavus,ScrafttBicycles-npProject,AlisanCavus/ScrafttBicycles-npProject,https://github.com/AlisanCavus/ScrafttBicycles-npProject.git,1,3,0,28,224491,2
47,Bartek532,ecommerce-sofa,Bartek532/ecommerce-sofa,https://github.com/Bartek532/ecommerce-sofa.git,1,6,0,31,1041,2
48,SimonaHriscu,react-online-shop,SimonaHriscu/react-online-shop,https://github.com/SimonaHriscu/react-online-shop.git,1,2,1,29,1390,2
49,VladyslavsSotnikov,react-pizza,VladyslavsSotnikov/react-pizza,https://github.com/VladyslavsSotnikov/react-pizza.git,1,2,0,25,1024,2
