,owner,name,full_name,clone_url,forks,watchers,open_issues,describtion_length,size,branches,framework
0,BosNaufal,vue-mini-shop,BosNaufal/vue-mini-shop,https://github.com/BosNaufal/vue-mini-shop.git,87,260,2,34,2763,2,vue
1,tuture-dev,vue-online-shop-frontend,tuture-dev/vue-online-shop-frontend,https://github.com/tuture-dev/vue-online-shop-frontend.git,54,182,5,38,4941,2,vue
2,aimeos,aimeos,aimeos/aimeos,https://github.com/aimeos/aimeos.git,182,2767,2,172,3807,2,vue
3,tuture-dev,vue-online-shop-backend,tuture-dev/vue-online-shop-backend,https://github.com/tuture-dev/vue-online-shop-backend.git,27,56,0,38,3794,2,vue
4,travishorn,vue-online-store-demo,travishorn/vue-online-store-demo,https://github.com/travishorn/vue-online-store-demo.git,35,44,10,58,1090,2,vue
5,Geolage,vue-shop,Geolage/vue-shop,https://github.com/Geolage/vue-shop.git,9,106,0,96,2428,2,vue
6,ananyaneogi,a-vue-shop,ananyaneogi/a-vue-shop,https://github.com/ananyaneogi/a-vue-shop.git,17,20,1,49,2674,2,vue
7,seven77Zhou,vue-online-shop,seven77Zhou/vue-online-shop,https://github.com/seven77Zhou/vue-online-shop.git,4,19,1,11,394,2,vue
8,muyang,online_shop,muyang/online_shop,https://github.com/muyang/online_shop.git,8,0,0,26,5193,2,vue
9,F-loat,unique,F-loat/unique,https://github.com/F-loat/unique.git,6,7,0,54,2417,2,vue
10,bedus-creation,Shopping-Sahuba,bedus-creation/Shopping-Sahuba,https://github.com/bedus-creation/Shopping-Sahuba.git,10,19,10,271,40203,2,vue
11,Techminate-Labs,Shiopa-AdminPortal-Vue-JS,Techminate-Labs/Shiopa-AdminPortal-Vue-JS,https://github.com/Techminate-Labs/Shiopa-AdminPortal-Vue-JS.git,4,0,17,34,2919,2,vue
12,phptorule,Online-chocolate-shop,phptorule/Online-chocolate-shop,https://github.com/phptorule/Online-chocolate-shop.git,3,5,0,71,48607,2,vue
13,Stray-Kite,Online_Shopping,Stray-Kite/Online_Shopping,https://github.com/Stray-Kite/Online_Shopping.git,4,1,0,40,2350,2,vue
14,carlosazaustre,vue-online-store,carlosazaustre/vue-online-store,https://github.com/carlosazaustre/vue-online-store.git,0,7,0,64,115,2,vue
15,xiaogliu,online_shop,xiaogliu/online_shop,https://github.com/xiaogliu/online_shop.git,1,4,0,50,1097,2,vue
16,yigittopm,OnlineShop,yigittopm/OnlineShop,https://github.com/yigittopm/OnlineShop.git,0,2,0,32,2799,2,vue
17,ntkst73,vueTutorialOnlineShop,ntkst73/vueTutorialOnlineShop,https://github.com/ntkst73/vueTutorialOnlineShop.git,0,2,0,0,376,2,vue
18,verryp,vue-shop,verryp/vue-shop,https://github.com/verryp/vue-shop.git,0,2,22,44,13199,2,vue
19,Adhiambo-Cynthia,onlineshop,Adhiambo-Cynthia/onlineshop,https://github.com/Adhiambo-Cynthia/onlineshop.git,1,2,0,47,216,2,vue
20,ozoono,vue-shop,ozoono/vue-shop,https://github.com/ozoono/vue-shop.git,1,2,0,52,101,2,vue
