,owner,name,full_name,clone_url,forks,watchers,open_issues,describtion_length,size,branches
0,ahmednour005,onlineShop,ahmednour005/onlineShop,https://github.com/ahmednour005/onlineShop.git,9,12,0,59,10406,2
1,parzibyte,e-commerce-angular-node,parzibyte/e-commerce-angular-node,https://github.com/parzibyte/e-commerce-angular-node.git,20,14,20,55,1538,2
2,khaledjendi,SHOPi,khaledjendi/SHOPi,https://github.com/khaledjendi/SHOPi.git,10,16,2,62,88787,2
3,olenijo,OnlineShopAngular,olenijo/OnlineShopAngular,https://github.com/olenijo/OnlineShopAngular.git,13,0,0,0,2,2
4,mugan86,frontend-meang-online-shop,mugan86/frontend-meang-online-shop,https://github.com/mugan86/frontend-meang-online-shop.git,7,11,3,107,10447,2
5,DeepGautamFullStack,DeepCart,DeepGautamFullStack/DeepCart,https://github.com/DeepGautamFullStack/DeepCart.git,15,13,2,131,120,2
6,TYHXX,Angular-firebase-onlineShop,TYHXX/Angular-firebase-onlineShop,https://github.com/TYHXX/Angular-firebase-onlineShop.git,3,3,0,22,3007,2
7,piecioshka,warsawjs-workshop-3-online-shop,piecioshka/warsawjs-workshop-3-online-shop,https://github.com/piecioshka/warsawjs-workshop-3-online-shop.git,3,2,0,36,82,2
8,HuangXiaoyuyuyu,PinYouGou-OnlineShoppingMall,HuangXiaoyuyuyu/PinYouGou-OnlineShoppingMall,https://github.com/HuangXiaoyuyuyu/PinYouGou-OnlineShoppingMall.git,3,3,0,84,13917,2
9,Anuradha2018,angular-ecommerce,Anuradha2018/angular-ecommerce,https://github.com/Anuradha2018/angular-ecommerce.git,3,0,3,46,52603,2
10,borakasmer,GamesShop,borakasmer/GamesShop,https://github.com/borakasmer/GamesShop.git,2,11,0,86,2981,2
11,adhyantini,Online-Shopping-Application,adhyantini/Online-Shopping-Application,https://github.com/adhyantini/Online-Shopping-Application.git,2,2,0,72,1949,2
12,timothyjacque,oshop,timothyjacque/oshop,https://github.com/timothyjacque/oshop.git,10,16,0,450,25180,2
13,kamdjouduplex,fonashop,kamdjouduplex/fonashop,https://github.com/kamdjouduplex/fonashop.git,4,1,0,79,2442,2
14,SunriseTEAM,SunriseShopApi,SunriseTEAM/SunriseShopApi,https://github.com/SunriseTEAM/SunriseShopApi.git,3,0,0,95,45943,2
15,borakasmer,devnotMicroservices,borakasmer/devnotMicroservices,https://github.com/borakasmer/devnotMicroservices.git,5,9,0,402,272,2
16,shivaneej,Fresho,shivaneej/Fresho,https://github.com/shivaneej/Fresho.git,2,0,0,54,407,2
17,MohamedGoharFCIH,Online_Shop,MohamedGoharFCIH/Online_Shop,https://github.com/MohamedGoharFCIH/Online_Shop.git,2,0,22,146,4256,2
18,diyaann,Angular,diyaann/Angular,https://github.com/diyaann/Angular.git,0,0,0,26,160,2
19,lokalkauf,lokalkauf-frontend,lokalkauf/lokalkauf-frontend,https://github.com/lokalkauf/lokalkauf-frontend.git,1,20,43,258,173252,2
20,valeriyProg,ANGULAR_ONLINE_SHOP,valeriyProg/ANGULAR_ONLINE_SHOP,https://github.com/valeriyProg/ANGULAR_ONLINE_SHOP.git,0,2,2,47,46917,2
21,MsSyrine,BookShop,MsSyrine/BookShop,https://github.com/MsSyrine/BookShop.git,1,2,1,46,845,2
22,Sepandard,Shop,Sepandard/Shop,https://github.com/Sepandard/Shop.git,0,0,0,26,453,2
23,KhyatiDhiman,AngularProject,KhyatiDhiman/AngularProject,https://github.com/KhyatiDhiman/AngularProject.git,0,0,15,15,2736,2
24,IvanNycheporuk,Online-shop-Angular5,IvanNycheporuk/Online-shop-Angular5,https://github.com/IvanNycheporuk/Online-shop-Angular5.git,0,0,0,11,175,2
25,Yogeshgupta97,shop,Yogeshgupta97/shop,https://github.com/Yogeshgupta97/shop.git,0,0,0,35,288,2
26,nirannjan,shop,nirannjan/shop,https://github.com/nirannjan/shop.git,0,0,0,31,361,2
27,HAREMUTECH,Angular5-OnlineShop,HAREMUTECH/Angular5-OnlineShop,https://github.com/HAREMUTECH/Angular5-OnlineShop.git,0,1,0,33,33,2
28,PulkitBanta,Shoppo,PulkitBanta/Shoppo,https://github.com/PulkitBanta/Shoppo.git,0,4,9,66,5569,2
29,jimmyh0-88,Angular-Shop,jimmyh0-88/Angular-Shop,https://github.com/jimmyh0-88/Angular-Shop.git,0,0,2,11,440,2
30,BrifanBelly,shop-angular4-,BrifanBelly/shop-angular4-,https://github.com/BrifanBelly/shop-angular4-.git,0,0,0,38,46,2
31,AnjeiHolub,online-shop-angular1,AnjeiHolub/online-shop-angular1,https://github.com/AnjeiHolub/online-shop-angular1.git,0,0,0,22,5707,2
32,Ishu-ui-dev,angularRxJs,Ishu-ui-dev/angularRxJs,https://github.com/Ishu-ui-dev/angularRxJs.git,0,0,0,21,65,2
33,VitalyBaboshin,angular-os-practice,VitalyBaboshin/angular-os-practice,https://github.com/VitalyBaboshin/angular-os-practice.git,0,0,0,11,686,2
34,Liakhov,angular-online-market,Liakhov/angular-online-market,https://github.com/Liakhov/angular-online-market.git,0,0,0,13,322,2
35,NWojtow,OnlineShop-AngularTutorial,NWojtow/OnlineShop-AngularTutorial,https://github.com/NWojtow/OnlineShop-AngularTutorial.git,0,0,19,38,529,2
36,MarnusCoetzee,OnlineStore,MarnusCoetzee/OnlineStore,https://github.com/MarnusCoetzee/OnlineStore.git,0,0,2,33,7059,2
37,vhosamane,onlineShopping,vhosamane/onlineShopping,https://github.com/vhosamane/onlineShopping.git,0,0,3,38,837,2
38,john3245,ShopOnlineCliente,john3245/ShopOnlineCliente,https://github.com/john3245/ShopOnlineCliente.git,0,0,17,7,2955,2
39,Alongil,shoppingOnline,Alongil/shoppingOnline,https://github.com/Alongil/shoppingOnline.git,0,0,0,15,1296,2
40,Swetaben,Stop-to-Shop,Swetaben/Stop-to-Shop,https://github.com/Swetaben/Stop-to-Shop.git,0,0,2,27,447,2
41,SakBran,LifeonlineShop,SakBran/LifeonlineShop,https://github.com/SakBran/LifeonlineShop.git,0,0,20,31,1195,2
42,SergeyLitvin,ng-online-shop,SergeyLitvin/ng-online-shop,https://github.com/SergeyLitvin/ng-online-shop.git,0,0,0,22,514,2
43,username40,angular-internet-shop,username40/angular-internet-shop,https://github.com/username40/angular-internet-shop.git,0,0,0,19,115,2
44,Jalexx08,myShop,Jalexx08/myShop,https://github.com/Jalexx08/myShop.git,0,0,0,28,74,2
45,sagarluitel01,DemoOnilineShop,sagarluitel01/DemoOnilineShop,https://github.com/sagarluitel01/DemoOnilineShop.git,0,0,0,19,144,2
46,Ivan-Volosevich,shop-website,Ivan-Volosevich/shop-website,https://github.com/Ivan-Volosevich/shop-website.git,0,0,0,29,5748,2
47,ummeq,ShopShoes,ummeq/ShopShoes,https://github.com/ummeq/ShopShoes.git,0,0,19,31,141,2
48,MRamadanF,oShop,MRamadanF/oShop,https://github.com/MRamadanF/oShop.git,0,0,0,23,157,2
49,riteshbhambhani,Angular8,riteshbhambhani/Angular8,https://github.com/riteshbhambhani/Angular8.git,0,0,2,35,3333,2
50,IdoHeffer,AngularShopping,IdoHeffer/AngularShopping,https://github.com/IdoHeffer/AngularShopping.git,0,1,4,40,38411,2
51,ankit-mishra-edu,online-shopping,ankit-mishra-edu/online-shopping,https://github.com/ankit-mishra-edu/online-shopping.git,0,0,1,34,15283,2
52,resslen,OnlineShop,resslen/OnlineShop,https://github.com/resslen/OnlineShop.git,0,0,0,23,359,2
53,samisaeed,onlineshop-angular4-,samisaeed/onlineshop-angular4-,https://github.com/samisaeed/onlineshop-angular4-.git,0,0,0,30,142,2
54,loisch22,online-shop,loisch22/online-shop,https://github.com/loisch22/online-shop.git,0,0,0,7,81,2
55,MarlenArb,ShopOnline-Front,MarlenArb/ShopOnline-Front,https://github.com/MarlenArb/ShopOnline-Front.git,0,0,14,9,29266,2
56,codeapps,angularOnlineShopping,codeapps/angularOnlineShopping,https://github.com/codeapps/angularOnlineShopping.git,0,1,1,33,13783,2
57,somesh1993,onlineshoppingclient,somesh1993/onlineshoppingclient,https://github.com/somesh1993/onlineshoppingclient.git,0,0,19,32,606,2
58,jexpop,AngularShopping,jexpop/AngularShopping,https://github.com/jexpop/AngularShopping.git,0,1,0,24,271,2
59,lourencovw,angular-fc-lourenco,lourencovw/angular-fc-lourenco,https://github.com/lourencovw/angular-fc-lourenco.git,0,0,17,19,2591,2
60,chavesrodolfo,OnlineShop,chavesrodolfo/OnlineShop,https://github.com/chavesrodolfo/OnlineShop.git,0,0,0,33,1004,2
61,noa-s,onlineShop-back,noa-s/onlineShop-back,https://github.com/noa-s/onlineShop-back.git,0,0,0,27,4152,2
62,08-albert,Angular-OnlineShop,08-albert/Angular-OnlineShop,https://github.com/08-albert/Angular-OnlineShop.git,0,0,0,24,857,2
63,kflorczyk,OnlineShopWebConsumer,kflorczyk/OnlineShopWebConsumer,https://github.com/kflorczyk/OnlineShopWebConsumer.git,0,0,0,30,1112,2
64,sarahvdb,OnlineShopApp,sarahvdb/OnlineShopApp,https://github.com/sarahvdb/OnlineShopApp.git,0,0,0,16,47879,2
65,Kusuma18,OnlineShoppingCart,Kusuma18/OnlineShoppingCart,https://github.com/Kusuma18/OnlineShoppingCart.git,0,0,10,40,1350,2
66,renatodysouza,shop-online,renatodysouza/shop-online,https://github.com/renatodysouza/shop-online.git,0,0,0,25,470,2
67,ofirtalbi,Shopping-Online,ofirtalbi/Shopping-Online,https://github.com/ofirtalbi/Shopping-Online.git,0,0,0,35,2731,2
68,kokilaMurugasamy,Online-Grocery,kokilaMurugasamy/Online-Grocery,https://github.com/kokilaMurugasamy/Online-Grocery.git,0,0,2,38,5016,2
69,VictoriyaSheifer,online_shop,VictoriyaSheifer/online_shop,https://github.com/VictoriyaSheifer/online_shop.git,0,0,0,30,95395,2
70,devqi,online-shop,devqi/online-shop,https://github.com/devqi/online-shop.git,0,0,18,16,2707,2
71,programmingvidya,online-shop,programmingvidya/online-shop,https://github.com/programmingvidya/online-shop.git,0,0,0,15,104,2
72,amandademetrio,OnlineGroupShopping,amandademetrio/OnlineGroupShopping,https://github.com/amandademetrio/OnlineGroupShopping.git,0,0,0,43,21365,2
73,msureshmewara,Online-Shopping-Demo,msureshmewara/Online-Shopping-Demo,https://github.com/msureshmewara/Online-Shopping-Demo.git,0,0,16,7,4419,2
74,seshasaik,OnlineShoppingDemo,seshasaik/OnlineShoppingDemo,https://github.com/seshasaik/OnlineShoppingDemo.git,0,0,20,36,984,2
75,Aravindharigoppula,ShopOnline,Aravindharigoppula/ShopOnline,https://github.com/Aravindharigoppula/ShopOnline.git,0,1,0,55,290,2
76,princekumardev,eshop-app,princekumardev/eshop-app,https://github.com/princekumardev/eshop-app.git,0,0,0,40,344,2
77,plongnguyen,online-shop-angular,plongnguyen/online-shop-angular,https://github.com/plongnguyen/online-shop-angular.git,0,0,0,32,5316,2
78,Edmund27,Angular-Shop,Edmund27/Angular-Shop,https://github.com/Edmund27/Angular-Shop.git,0,0,0,27,142,2
79,OlesMelnik,simple-shop-angular,OlesMelnik/simple-shop-angular,https://github.com/OlesMelnik/simple-shop-angular.git,0,0,0,29,165,2
80,colinbut,angularjs-shoppinglist,colinbut/angularjs-shoppinglist,https://github.com/colinbut/angularjs-shoppinglist.git,0,0,0,39,65,2
81,jyotij789,WebNeostore,jyotij789/WebNeostore,https://github.com/jyotij789/WebNeostore.git,0,0,0,40,306,2
