,name,full_name,clone_url,forks,watchers,open_issues,size,n_branches,len_description,owner,framework
0,Shop,yankouskia/Shop,https://github.com/yankouskia/Shop.git,50,126,1,2397,2,37,yankouskia,react
1,ReactJS-ecommerce-template,BPouncey/ReactJS-ecommerce-template,https://github.com/BPouncey/ReactJS-ecommerce-template.git,48,64,0,4746,2,53,BPouncey,react
2,ecommerce-spring-reactjs,merikbest/ecommerce-spring-reactjs,https://github.com/merikbest/ecommerce-spring-reactjs.git,104,141,1,43797,2,119,merikbest,react
3,tiptop,shashiirk/tiptop,https://github.com/shashiirk/tiptop.git,16,42,0,474,2,23,shashiirk,react
4,ReactNativeApolloOnlineStore,bithoven-dev/ReactNativeApolloOnlineStore,https://github.com/bithoven-dev/ReactNativeApolloOnlineStore.git,15,60,41,1547,2,48,bithoven-dev,react
5,ygshop,thomaslwq/ygshop,https://github.com/thomaslwq/ygshop.git,50,3,18,2786,2,28,thomaslwq,react
6,online-groceries-app,feMoraes0/online-groceries-app,https://github.com/feMoraes0/online-groceries-app.git,18,34,1,7875,2,56,feMoraes0,react
7,Supreme-Auto-Checkout,val92130/Supreme-Auto-Checkout,https://github.com/val92130/Supreme-Auto-Checkout.git,110,365,70,7934,2,109,val92130,react
8,online-shop,renaco/online-shop,https://github.com/renaco/online-shop.git,55,0,0,16708,2,63,renaco,react
9,react-simple-online-shop-concept,bartstc/react-simple-online-shop-concept,https://github.com/bartstc/react-simple-online-shop-concept.git,12,27,1,17522,2,45,bartstc,react
10,onlineShop,alaminsahed/onlineShop,https://github.com/alaminsahed/onlineShop.git,16,12,1,3437,2,51,alaminsahed,react
11,online-shop,soybeanxiaobi/online-shop,https://github.com/soybeanxiaobi/online-shop.git,5,16,0,111,2,17,soybeanxiaobi,react
12,react-mini-shop,ikhsanalatsary/react-mini-shop,https://github.com/ikhsanalatsary/react-mini-shop.git,11,18,5,728,2,38,ikhsanalatsary,react
13,Pizza-Shop,AbdulWahab0/Pizza-Shop,https://github.com/AbdulWahab0/Pizza-Shop.git,18,29,8,20749,2,86,AbdulWahab0,react
14,react-online-shop,ngothanhtung/react-online-shop,https://github.com/ngothanhtung/react-online-shop.git,11,4,0,296,2,0,ngothanhtung,react
15,e-commerce,mvximenko/e-commerce,https://github.com/mvximenko/e-commerce.git,4,17,1,2103,2,36,mvximenko,react
16,react-redux-shop,Krivega/react-redux-shop,https://github.com/Krivega/react-redux-shop.git,7,8,0,4330,2,87,Krivega,react
17,ReactJs-Online-Store,mahmud-sajib/ReactJs-Online-Store,https://github.com/mahmud-sajib/ReactJs-Online-Store.git,3,9,0,209,2,77,mahmud-sajib,react
18,e-mart,cedrickchee/e-mart,https://github.com/cedrickchee/e-mart.git,9,16,0,572,2,106,cedrickchee,react
19,online-shop,ZahraMirzaei/online-shop,https://github.com/ZahraMirzaei/online-shop.git,1,75,0,6739,2,112,ZahraMirzaei,react
20,S.Mallets-frontend,CC2021-WBL/S.Mallets-frontend,https://github.com/CC2021-WBL/S.Mallets-frontend.git,4,2,4,5705,2,39,CC2021-WBL,react
21,Fashion-Web-App,anujshashimal/Fashion-Web-App,https://github.com/anujshashimal/Fashion-Web-App.git,5,7,22,30176,2,81,anujshashimal,react
22,redux-co,jenna-m/redux-co,https://github.com/jenna-m/redux-co.git,4,4,1,51302,2,34,jenna-m,react
23,Jumia-clone,MichaelKasingye/Jumia-clone,https://github.com/MichaelKasingye/Jumia-clone.git,3,8,0,6506,2,69,MichaelKasingye,react
24,OnlineShoppingStore,lakshanban/OnlineShoppingStore,https://github.com/lakshanban/OnlineShoppingStore.git,2,4,16,26000,2,84,lakshanban,react
25,online-shop,iMykhailychenko/online-shop,https://github.com/iMykhailychenko/online-shop.git,2,4,0,7272,2,94,iMykhailychenko,react
26,Alfredo-Mobile,CloudGakkai/Alfredo-Mobile,https://github.com/CloudGakkai/Alfredo-Mobile.git,7,14,0,3272,2,130,CloudGakkai,react
27,app-shopping-store,rukshan99/app-shopping-store,https://github.com/rukshan99/app-shopping-store.git,3,2,0,1243,2,60,rukshan99,react
28,react_native_storeapp,kastergarta/react_native_storeapp,https://github.com/kastergarta/react_native_storeapp.git,5,7,1,142810,2,140,kastergarta,react
29,RW-Jewellery-Automated-System,Shihara-Dilshan/RW-Jewellery-Automated-System,https://github.com/Shihara-Dilshan/RW-Jewellery-Automated-System.git,7,5,7,15810,2,122,Shihara-Dilshan,react
30,ECommerceColabShop,Salonii02/ECommerceColabShop,https://github.com/Salonii02/ECommerceColabShop.git,1,7,0,6389,2,16,Salonii02,react
31,loveya,ProjectKarol/loveya,https://github.com/ProjectKarol/loveya.git,2,0,17,4102,2,17,ProjectKarol,react
32,OpenDagang,libscode/OpenDagang,https://github.com/libscode/OpenDagang.git,4,2,2,3855,2,81,libscode,react
33,cloth-shop,saidMounaim/cloth-shop,https://github.com/saidMounaim/cloth-shop.git,4,6,0,2628,2,42,saidMounaim,react
34,shoppy,optimm/shoppy,https://github.com/optimm/shoppy.git,3,2,0,69168,2,95,optimm,react
35,LTL-Admin,unbanksytv/LTL-Admin,https://github.com/unbanksytv/LTL-Admin.git,9,0,3,12146,2,142,unbanksytv,react
36,online-shop,akshayDatacode/online-shop,https://github.com/akshayDatacode/online-shop.git,0,5,0,15845,2,25,akshayDatacode,react
37,MyntraClone_react,salove16/MyntraClone_react,https://github.com/salove16/MyntraClone_react.git,7,3,0,10112,2,254,salove16,react
38,ecommerce-sofa,Bartek532/ecommerce-sofa,https://github.com/Bartek532/ecommerce-sofa.git,1,7,0,1041,2,31,Bartek532,react
39,mech-kb,JoinCODED/mech-kb,https://github.com/JoinCODED/mech-kb.git,4,0,0,1767,2,81,JoinCODED,react
40,reactU-online-shopping-store,bensooraj/reactU-online-shopping-store,https://github.com/bensooraj/reactU-online-shopping-store.git,2,0,0,954,2,91,bensooraj,react
41,Online-shopping-website-react,ArchilChovatiya/Online-shopping-website-react,https://github.com/ArchilChovatiya/Online-shopping-website-react.git,0,4,0,932,2,47,ArchilChovatiya,react
