,name,full_name,clone_url,forks,watchers,open_issues,size,n_branches,len_description,owner,framework
0,vue-mini-shop,BosNaufal/vue-mini-shop,https://github.com/BosNaufal/vue-mini-shop.git,87,261,2,2763,2,34,BosNaufal,vue
1,vue-online-shop-frontend,tuture-dev/vue-online-shop-frontend,https://github.com/tuture-dev/vue-online-shop-frontend.git,54,183,5,4941,15,38,tuture-dev,vue
2,aimeos,aimeos/aimeos,https://github.com/aimeos/aimeos.git,184,2801,2,3786,11,172,aimeos,vue
3,vue-online-shop-backend,tuture-dev/vue-online-shop-backend,https://github.com/tuture-dev/vue-online-shop-backend.git,27,56,0,3794,2,38,tuture-dev,vue
4,vue-online-store-demo,travishorn/vue-online-store-demo,https://github.com/travishorn/vue-online-store-demo.git,36,44,10,1090,11,58,travishorn,vue
5,vue-shop,Geolage/vue-shop,https://github.com/Geolage/vue-shop.git,10,106,0,2428,2,96,Geolage,vue
6,a-vue-shop,ananyaneogi/a-vue-shop,https://github.com/ananyaneogi/a-vue-shop.git,17,20,1,2674,1,49,ananyaneogi,vue
7,vue-online-shop,seven77Zhou/vue-online-shop,https://github.com/seven77Zhou/vue-online-shop.git,6,19,1,394,1,11,seven77Zhou,vue
8,online_shop,muyang/online_shop,https://github.com/muyang/online_shop.git,9,0,0,5193,1,26,muyang,vue
9,unique,F-loat/unique,https://github.com/F-loat/unique.git,6,7,0,2417,4,54,F-loat,vue
10,Shopping-Sahuba,bedus-creation/Shopping-Sahuba,https://github.com/bedus-creation/Shopping-Sahuba.git,10,21,10,40203,4,271,bedus-creation,vue
11,Shiopa-AdminPortal-Vue-JS,Techminate-Labs/Shiopa-AdminPortal-Vue-JS,https://github.com/Techminate-Labs/Shiopa-AdminPortal-Vue-JS.git,5,0,17,2919,8,34,Techminate-Labs,vue
12,Online-chocolate-shop,phptorule/Online-chocolate-shop,https://github.com/phptorule/Online-chocolate-shop.git,4,5,0,48607,4,71,phptorule,vue
13,Online_Shopping,Stray-Kite/Online_Shopping,https://github.com/Stray-Kite/Online_Shopping.git,4,1,0,2350,1,40,Stray-Kite,vue
14,vue-online-store,carlosazaustre/vue-online-store,https://github.com/carlosazaustre/vue-online-store.git,1,7,0,115,1,64,carlosazaustre,vue
15,OnlineShop,yigittopm/OnlineShop,https://github.com/yigittopm/OnlineShop.git,1,3,0,2799,1,32,yigittopm,vue
16,online_shop,xiaogliu/online_shop,https://github.com/xiaogliu/online_shop.git,2,4,0,1097,1,50,xiaogliu,vue
17,vueTutorialOnlineShop,ntkst73/vueTutorialOnlineShop,https://github.com/ntkst73/vueTutorialOnlineShop.git,1,2,0,376,1,0,ntkst73,vue
18,vue-shop,verryp/vue-shop,https://github.com/verryp/vue-shop.git,1,2,22,13199,23,44,verryp,vue
19,onlineshop,Adhiambo-Cynthia/onlineshop,https://github.com/Adhiambo-Cynthia/onlineshop.git,1,2,0,216,1,47,Adhiambo-Cynthia,vue
20,Springboot-onlineShopping,haohaonan103/Springboot-onlineShopping,https://github.com/haohaonan103/Springboot-onlineShopping.git,1,2,1,3757,2,25,haohaonan103,vue
21,vue-shop,ozoono/vue-shop,https://github.com/ozoono/vue-shop.git,1,2,0,101,1,52,ozoono,vue
22,vuexy-shop,tieu-outsource/vuexy-shop,https://github.com/tieu-outsource/vuexy-shop.git,1,1,0,21708,5,11,tieu-outsource,vue
23,vue-shopping,HdLily/vue-shopping,https://github.com/HdLily/vue-shopping.git,1,0,0,149,1,15,HdLily,vue
24,VueProject,shyim0720/VueProject,https://github.com/shyim0720/VueProject.git,1,0,0,458,2,22,shyim0720,vue
25,vue-online-shop-backend,CassielLee/vue-online-shop-backend,https://github.com/CassielLee/vue-online-shop-backend.git,1,0,0,601,1,23,CassielLee,vue
26,online-shop-with-vue,fong06/online-shop-with-vue,https://github.com/fong06/online-shop-with-vue.git,1,1,13,561,17,20,fong06,vue
27,vue-online-shop-frontend,w-kuiq/vue-online-shop-frontend,https://github.com/w-kuiq/vue-online-shop-frontend.git,1,0,5,713,6,24,w-kuiq,vue
28,book-store,hendrobayu1/book-store,https://github.com/hendrobayu1/book-store.git,1,0,0,263,1,21,hendrobayu1,vue
29,Online-shop,Konstantin-Trofimov/Online-shop,https://github.com/Konstantin-Trofimov/Online-shop.git,1,0,0,226,1,16,Konstantin-Trofimov,vue
30,vue_online_shop,a1723/vue_online_shop,https://github.com/a1723/vue_online_shop.git,1,0,0,949,1,15,a1723,vue
31,online_shop,dmvasin/online_shop,https://github.com/dmvasin/online_shop.git,1,0,24,3554,25,19,dmvasin,vue
32,VueJs-OnlineShop,edmondkadriu/VueJs-OnlineShop,https://github.com/edmondkadriu/VueJs-OnlineShop.git,1,0,0,5051,1,0,edmondkadriu,vue
33,OnlineShopping-NodeJS-ExpressJS-VueJs-MySQL,iabhishekraj/OnlineShopping-NodeJS-ExpressJS-VueJs-MySQL,https://github.com/iabhishekraj/OnlineShopping-NodeJS-ExpressJS-VueJs-MySQL.git,1,0,0,9386,1,26,iabhishekraj,vue
34,vue-learning,laniakea42/vue-learning,https://github.com/laniakea42/vue-learning.git,1,0,14,1221,15,28,laniakea42,vue
35,Vue-shop,DeepViolet777/Vue-shop,https://github.com/DeepViolet777/Vue-shop.git,1,0,0,850,2,19,DeepViolet777,vue
36,OnlineShop,zhoujiaming12311/OnlineShop,https://github.com/zhoujiaming12311/OnlineShop.git,1,0,0,288,4,10,zhoujiaming12311,vue
37,Vue-Online-Shopping,BrianKeybet/Vue-Online-Shopping,https://github.com/BrianKeybet/Vue-Online-Shopping.git,1,0,0,257,1,27,BrianKeybet,vue
38,ONLINE-STORE.VUE.JS,TheHamCore/ONLINE-STORE.VUE.JS,https://github.com/TheHamCore/ONLINE-STORE.VUE.JS.git,1,1,0,464,1,17,TheHamCore,vue
39,online-market,bexruz5113/online-market,https://github.com/bexruz5113/online-market.git,1,0,0,355,1,8,bexruz5113,vue
40,OnlineShop,dcwik96/OnlineShop,https://github.com/dcwik96/OnlineShop.git,1,1,0,13,1,35,dcwik96,vue
41,OnlineShop,NeginSal/OnlineShop,https://github.com/NeginSal/OnlineShop.git,1,0,0,299,1,29,NeginSal,vue
42,OnlineShop-Projekti-VueJS-,diarhyseni/OnlineShop-Projekti-VueJS-,https://github.com/diarhyseni/OnlineShop-Projekti-VueJS-.git,1,0,0,5064,1,0,diarhyseni,vue
43,vueOnlineShop,onuchiinn/vueOnlineShop,https://github.com/onuchiinn/vueOnlineShop.git,1,0,20,6030,22,33,onuchiinn,vue
44,App-VueJS-ShopOnline,LeVanVan-002/App-VueJS-ShopOnline,https://github.com/LeVanVan-002/App-VueJS-ShopOnline.git,1,1,0,13916,1,0,LeVanVan-002,vue
45,online_shop,programmerCYY/online_shop,https://github.com/programmerCYY/online_shop.git,1,0,0,481,8,24,programmerCYY,vue
46,online_shop,OnofreiDaria/online_shop,https://github.com/OnofreiDaria/online_shop.git,1,0,18,2869,19,21,OnofreiDaria,vue
47,online_shop,VickyDong20/online_shop,https://github.com/VickyDong20/online_shop.git,1,0,0,339,2,10,VickyDong20,vue
48,online-shop,Carinalulu/online-shop,https://github.com/Carinalulu/online-shop.git,1,0,15,1786,16,14,Carinalulu,vue
49,online-shop,Tilek0/online-shop,https://github.com/Tilek0/online-shop.git,1,0,0,52225,1,6,Tilek0,vue
50,Shop-Vue-,stas-diubko/Shop-Vue-,https://github.com/stas-diubko/Shop-Vue-.git,1,0,17,1848,18,12,stas-diubko,vue
51,vue-shop,KarKaron/vue-shop,https://github.com/KarKaron/vue-shop.git,1,0,0,829,1,24,KarKaron,vue
52,vueTry,wizard-intraining/vueTry,https://github.com/wizard-intraining/vueTry.git,1,0,0,2250,1,36,wizard-intraining,vue
53,vue_shop,oCodeHoney/vue_shop,https://github.com/oCodeHoney/vue_shop.git,1,0,20,2075,22,33,oCodeHoney,vue
54,onlineShop-VueJS-Vuex-January2020,BigUhoTape/onlineShop-VueJS-Vuex-January2020,https://github.com/BigUhoTape/onlineShop-VueJS-Vuex-January2020.git,1,0,25,3596,26,0,BigUhoTape,vue
55,shopping-platform-vue,haishangfeie/shopping-platform-vue,https://github.com/haishangfeie/shopping-platform-vue.git,1,0,0,729,1,35,haishangfeie,vue
56,vue-fire-shop,marluanespiritusanto/vue-fire-shop,https://github.com/marluanespiritusanto/vue-fire-shop.git,1,0,0,252,1,28,marluanespiritusanto,vue
57,fuji-portal,wangshiz/fuji-portal,https://github.com/wangshiz/fuji-portal.git,1,0,0,9861,1,29,wangshiz,vue
58,vue-online-shop-cli,ghaitsazahiras/vue-online-shop-cli,https://github.com/ghaitsazahiras/vue-online-shop-cli.git,1,0,0,201,2,23,ghaitsazahiras,vue
59,Online-Shop,MaxEinSof/Online-Shop,https://github.com/MaxEinSof/Online-Shop.git,1,0,0,349,2,56,MaxEinSof,vue
60,vuejs-onlineshop,rakaardiansyah/vuejs-onlineshop,https://github.com/rakaardiansyah/vuejs-onlineshop.git,1,0,0,125,2,37,rakaardiansyah,vue
61,vue-online-shop,vscchencc/vue-online-shop,https://github.com/vscchencc/vue-online-shop.git,1,0,22,2891,2,25,vscchencc,vue
62,online_shop-vue,Grinch3214/online_shop-vue,https://github.com/Grinch3214/online_shop-vue.git,1,0,0,1965,2,41,Grinch3214,vue
63,vue-onlineShop,pt-phone-home/vue-onlineShop,https://github.com/pt-phone-home/vue-onlineShop.git,1,0,18,8229,2,0,pt-phone-home,vue
64,vue_onlineShop,DoomOrGroom/vue_onlineShop,https://github.com/DoomOrGroom/vue_onlineShop.git,1,0,0,96,2,9,DoomOrGroom,vue
65,online_shop_63,Dazzv-King/online_shop_63,https://github.com/Dazzv-King/online_shop_63.git,0,1,0,1403,2,45,Dazzv-King,vue
66,vue--OnlineShop,AlittleFenQing/vue--OnlineShop,https://github.com/AlittleFenQing/vue--OnlineShop.git,2,1,0,668,2,9,AlittleFenQing,vue
67,OnlineShoppingVue.JS,DaliaTarek96/OnlineShoppingVue.JS,https://github.com/DaliaTarek96/OnlineShoppingVue.JS.git,1,0,23,7444,2,0,DaliaTarek96,vue
68,onlineShopVue,alexminsk7/onlineShopVue,https://github.com/alexminsk7/onlineShopVue.git,1,0,19,2796,2,0,alexminsk7,vue
69,VUE-webpack-OnlineShoping,FuloliyaLansfroya/VUE-webpack-OnlineShoping,https://github.com/FuloliyaLansfroya/VUE-webpack-OnlineShoping.git,1,0,0,18,2,16,FuloliyaLansfroya,vue
